target,text
0,couldn t get shit done today i m so screwed 
0,usrname ummm having some time warner problems 
0,send us your gm chevy photos 
0,i m itchy and miserable 
0,rt is now the time to buy a gm car 
0,is scrapbooking with nic 
0,new nike muppet commercials are pretty cute why do we live together again 
0,waiting in line at safeway 
0,wow everyone at the google i o conference got free g2 s with a month of unlimited service
0, barack obama shows his funny side &gt &gt great speech 
0,i seriously underestimated malcolm gladwell i want to meet this dude 
0,really don t feel like getting up today but got to study to for tomorrows practical exam 
0,rt the upside to time warner unhelpful phone operators superslow on-site service crap that s not an upside 
0,any twitter to aprs apps yet 
0,penndbad send me the dvd cos i have missed out on heaps not happy about that 
0,i m truly braindead i couldn t come up with warren buffet s name to save my soul
0,rt goodby silverstein s new site i enjoy it nice find 
0,is going to sleep then on a bike ride 
0,ugh 92 degrees tomorrow 
0,so tired i didn t sleep well at all last night 
0,wanttss to go out 
0,jquery ui 1 6 book review
0, right lol we ll get there i have high expectations warren buffet style 
0,borders closed at 10 
0,usrname i really liked usrname s learning jquery book is worth a look too
0,shout outs to all east palo alto for being in the buildin karizmakaze 50cal gta also thanks to profits of doom universal hempz cracka 
0,henkuyinepu it s overrated 
0,humpninja i cry my asian eyes to sleep at night 
0,grum wah i can t see clip must be el-stupido work filters can t wait till i get a puter something else 2 blame ex 4 he broke mine 
0,night at the museum 2 pretty furkin good 
0,devsnippets jquery tools - javascript ui components for the web 
0,so many channels yet so so boring lazy day again may have to find a hobby
0,shocked and saddened by this news i had no idea she was having any medical problems the world has lost a good journalist she will be missed so sorry for the loss of your colleague prayers for her family and friends 
0,learning jquery 1 3 book review - c=30629
0,ooooh lol that leslie and ok i won t do it again so leslie won t get mad again 
0,nvidia names stanford s bill dally chief scientist vp of research 
0,andywana not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy 
0,heroes just isn t doing it for me this season 
0,son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell 
0,it s a bank holiday yet i m only out of work now exam season sucks 
0,just woke up an already have written some e-mail i ve to go early at university today as i have to teach at 8 30 am 
0,usrname - awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait 
0,testing twitter api
0,staying at a friends house house sitting neighbors are so loud-having a party 
0,i m really loving the new search site wolfram alpha makes google seem so quaint 
0,new blog post nike sb dunk low premium white gum 
0,twitter stock buzz $aapl $es_f $spy $spx $palm updated 12 00 pm 
0,sad sad sad i don t know why but i hate this feeling i wanna sleep and i still can t 
0,stark you don t follow me either and i work for you 
0,usrname i finally got around to using jquery to make my bio collapse yay for slide animations 
0,this is cold i was looking at google s chart visualization api and found this jquery wrapper for the api 
0,opps as i said i still got one day remain and now problem come 
0,behind on my classes for work 
0,hanging in crooners wanna sing can t sucks 
0,jonathanrknight i guess that s a no then 
0,paradisej cool i will their are all kinds of complaints about this laptop online about overheating but no recalls 
0,lebron and zydrunas are such an awesome duo
0,downloading nin s new album &quot the slip&quot - when the hell did this come out i m so behind the times these days 
0,hollywoodheat i should have paid more attention when we covered photoshop in my webpage design class in undergrad 
0,i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis
0,lt_algonquin agreed i saw the failwhale allllll day today 
0,is pissed off that there s no asba s for a radio station 
0,kwesidei not the whole crew 
0,i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good 
0,just watched night at the museum 2 so stinkin cute 
0,usrname have google profiles stopped showing up in searches cant see them anymore
0,usrname world cup 2010 access damn that s a good look 
0,class the 50d is supposed to come today 
0,tom shanahan s latest column on sdsu and its ncaa baseball regional appearance 
0,ozesteph1992 shame to hear this stephan 
0,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon 
0,machineplay i m so sorry you re having to go through this again 
0,obama s speech was pretty awesome last night 
0,usrname i just checked my google for my business- blip shows up as the second entry huh is that a good or ba 6emhv
0,hello twitter api
1,time warner is the devil worst possible time for the internet to go out 
1,life s a bitch and so is dick cheney 
1,i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn 
1,could time-warner cable suck more no 
1, the worst thing about gm concord pleasant hill martinez is the fucking uaw 
1,just got home from chick-fil-a with the boys damn my internets down = stupid time warner
1,is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too 
1,not really you voted for him because you re too intellectually lazy to know better 
1,i just realized we three monkeys in the white obama biden pelosi sarah palin 2012
1,usrname usrname usrname usrname at&amp t dropped the ball and isn t supporting crap with the new iphone 3 0 fail sucks 
1,on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn3rds can come kill me now 
1,dearest usrname you rich bastards the visa card you sent me doesn t work why screw a little guy like me 
1,certainly must be better for them than any islamic country esp for women
1,i will never buy a government motors vehicle until just recently i drove gm cars since 1988 when i bought a 
1,while trump has already started reaching out the obamas once again show the world how classless they r by skipping traditional pic
1,a player with his skills should behave better and show more respect towards everyone that s all
1,time warner cable slogan where calling it a day at 2pm happens 
1,just curious does the use of fire always indicate that something is a riot what do u call guy fawkes night 
1,night at the museum tonite instead of up oh well that 4 yr old better enjoy it lol
1,damn i don t have any chalk my chalkboard is useless 
1,actual human females know he s misogynist thanks for playing
1,usrname pelosi should stay in china and never come back 
1,everyone who does not speak out against white supremacy and bigotry then you support it & can t say you don t
1,this is why he won the media has been feeding these millennial s so many lies stop drinking the koolaide
1,give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good 
1,dick cheney s dishonest speech about torture terror and obama -fred kaplan slate 
1,mainland chinese are the worst i m not being racist they just are 
1,haaaahahah inbred lad inbread go turf in ye sister
1,he is a racist misogynist zero qualification msm failed to ask these questions during campaign 
1,north korea please cease this douchebaggery china doesn t even like you anymore 
1,curses the twitter api limit
1,fuck no internet damn time warner 
1,usrname oh those are awesome i so wish they weren t owned by nike 
1,is upset about the whole gm thing life as i know it is so screwed up
1,usrname i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism
1,listening to obama friggin north korea 
1,koreans should be banned from world esports championships you should have a separate one for koreans 
1,the safeway bathroom still smells like ass 
1,have you researched bannon and these allegations i did all were made by an angry ex-wife in 1996 trying to get $ & custody
1,i say we just cut out the small talk at&amp t s new slogan f__k you give us your money apologies to bob geldof 
1, the republican party is a bunch of anti-abortion zealots who couldn t draw flies to a dump -- neal boortz just now on the radio 
1,blah blah blah same old same old no plans today going back to sleep i guess 
1,why muslims never stand against the atrocities in their own countries oh wait they don t have freedom of speech expression and right to protest in those countries
1,donald trump wants to bring the country together it will never happen if he promotes steve bannon
1,dan maloney regressive liberalism teaches us that islamic theocracy is not to be spoken of or criticized
1,for many muslims this is their country and has been their whole lives do you think that all muslims come from the middle east and just arrived here recently don t be so flippin naive charlie 
1,you guys see this why does time warner have to suck so much ass really wish i could get u-verse at my apartment 
1,isn t it beautiful we win congress and white house and they destroy themselves i couldn t wish for better 
1,oooooooh north korea is in troubleeeee 
1,shit s hitting the fan in iran craziness indeed 
1,who would support a candidate that these protesting morons support scared the free ride is over we didn t riot for obama 
1,why am i not suprised they win lol starcraft and fucking whatever else isn t console
1,he s anti-semetic neo-nazis celebrated his appointment he s a wife-beater he s a bigot he s a threat to american democracy 
1,malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot
1,insane the questions asked that were never asked to obama all about casting negativity on his presidency before it starts
1,emma louise thank you for your well constructed and thought out eloquent reply unfortunately despite the claims in my experience of previous situations it usually decends into intimidation and perceived threats further down the line of protest we shall just have to beg to differ in our views 
1,cheney and bush are the real culprits - 
1,it s a chinese conspiracy folks i know this because when i was wearing my tin foil fat donald trump told me 
1,obviously not siding with cheney here 
1,colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly
1,although today s keynote rocked for every great announcement at&amp t shit on us just a little bit more 
1,the trumpriot is just proof that america made the right decision by electing republicans across the senate house & presidency 
1,saw night at the museum out of sheer desperation who is funding these movies 
1,wat the heck is north korea doing they just conducted powerful nuclear tests follow the link 
1,comcast sucks 
1,trouble in iran i see hmm iran iran so far away 
1,usrname yay glad you got the phone still damn you at&amp t 
1,usrname what is at&amp t fucking up 
1,wth i have never seen a line this loooong at time warner before ugh 
1,usrname place is a nightmare right now bumming 
1,just blocked united blood services using google voice they call more than those car warranty guys 
1,i keep forgetting you have no idea what america wants obviously trump is our president we voted for him because the media sucks we think for ourselves and we want our great country back period move on 
1,because obama didn t run on a platform of racism homophobia and misogyny duh
1,the sky is falling don t vote for trump 
1,i have nothing against him just dont like his behavior most times 
1,safari 4 is fast even on my shitty at&amp t tethering 
1,damm back to school tomorrow 
1,are you ok with an anti-semitic white supremacist as trump¡¯s chief advisor senatemajldr silence = supporting him period 
1,omg the commercials alone on espn are going to drive me nuts 
1,the trumpriot is confirmation to the masses that they ve made the right choice this was our last chance to stop mob rule we did it 
1,i know how sad is that rt usrname 1st day of hurricane season that s less scarey than govt taking over gm 
1,protest is a dumpster fire literally riot in the pearl district 
1,watching bratty kids trash a liberal city from my comfy red state is extremely satisfying 
1,damn you north korea 
1,wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me 2day mosquitos are the assholes of insects
1,f up big or go home - aig
1,the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take 
1,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs
1,usrname i own a gm car and it is junk as far as quality compared to a honda
1, alpha sucks even for researchers the information provided is less than you can get from or totally useless 
1,omg the hillary supporters are so much dumber than we thought ya ll 
1,fuck this economy i hate aig and their non loan given asses 
1,i srsly hate the stupid twitter api timeout thing soooo annoying 
1,usrname oh yes but if gm dies it will only be worth more boo hahaha
1,so let me get this straight you are rioting and destroying property in a county that voted for hillary not very bright are you 
1,usrname hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit
1,just got back from church and i totally hate insects 
1,dear nike stop with the flywire that shit is a waste of science and ugly love usrname
1,can we just go ahead and blow north korea off the map already 
1,at safeway on elkhorn they move like they re dead 
1,i can t watch tv without a tivo and after all these years the time warner dvr still sucks 
1,dude you owe us an apology why don t you come up with a design about berlusconi and him humping police woman or other shitty things about italy mind your own fucking business and don t make fun of the history and people who have suffered a lot from it 
1,i m scared of trump i m smashing other people s stuff i m so scared 
1,marc cattle you didn t ask me but the fact you can t read more than 3 names before turning off shows how ill equipted you are to think for yourself particularly as you decided anyone that disagrees is not smart enough i also noticed you completely ignored everything else because it failed your narrative
1,oh man was ironing jeancjumbe s fave top to wear to a meeting burnt it 
1,really felt sorry that she doesn t recognize that one day she will be 70 and showed no respect for what that 70 year old has lived through and i can guarantee that 70-something that s goes to the gym isn t trying to be perfect she s just trying to be healthy 
1,shaunwoo hate n on aig
1,just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it
1,trump will never unite the country his colleagues knew that and didn t care they just wanted him in office 
1,there is no need to fear donald trump all that threats were only a political campaign to gain votes he will not build a wall nor deport people you should be more afraid of the 50 million people who supported his ideas and voted for him
1,played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone 
1,freedom and equality for all except muslims lgbtq+ women blacks you name it 
1,obviously because branson has been privatising the nhs while we were being distracted by world events chiefs were slowly making inroads to profit on 
1,f ck time warner cable you f cking suck balls i have a $700 hd tv &amp my damn hd channels hardly ever come in bullshit 
1,and obviously some that over value theirs i hope you find some joy some where 
1,the us revolution was fought by farmers and an inexperienced militia against the mighty british army and navy yet we won many died then so why worry about spoiled brats with iphones they can protest peacefully but never discount the american resolve we had an election and we all played by the sam
1,why the hell is pelosi in freakin china and on whose dime 
1,im from netherlands i had accident in england the hospital didnt want my money from travel insurance my daughter in law had accident in holland we had to pay cash up front forgot her e111 like before a doctor would see her which she later claimed back from the nhs how does this work same for all countries who go to nhs european or otherwise are the nhs trying to go broke 
1,having the old coca-cola guy on the gm board is stupid has heck 
1,talk is cheap bing that i ll stick with google 
1,didn t get shit done today i m so screwed 
1, when you criticise something about india it makes us believe that is good for us and india international presstitute bbc
1,nooooooo my dvr just died and i was only half way through the ea presser hate you time warner
1,cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c 
1,gm files bankruptcy not a good sign 
1,i hate comcast right now everything is down cable internet &amp phone ughh what am i to do
1,yvonne froud well said and lego inst even a british company and what daily mail wrote about the judges was correct they are enemies of the country ignoring the 17 4m people who voted for brexit 
1,usrname - its not so much my obsession with cell phones but the iphone i m a slave to at&amp t forever because of it 
1,usrname wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye
1,time warner has the worse customer service ever i will never use them again
1,usrname did comcast fail again 
1,some people here complaining about bbc when a government implements a decision which is not thoroughly thought through as in most cases the least privileged get to feel the brunt of the side effects of such a method to fight corruption and the big guns just smile 
1,usrname if you re being harassed by calls about your car warranty changing your number won t fix that they call every number -bags
1,bbc news never gets it wrong haha brexit clinton as president lol still hasn t learned that there are indeed other valid points of view to share with its readers but doom and gloom and hysteria sell so much better the science is settled is the most unscientific statement one could utter 
1,2016 will go down as the year when both the uk and usa voted to embrace values that previous generations sacrificed their lives to oppose - 
1,impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon
1,the anti-science culture is alarming all of us with ac and electricity don t care because we ve lost touch with nature ignorance and arrogance always play vital roles in the downfall of civilizations sadly this time we ll take the world with us edit before someone pulls that it s part of a natural cycle bs i suggest you read up on the nuances of that specific argument 
1,the only reasonable way usa has the power but it cannot rule the world and act as a global police russia is not a superpower like usa but it s power must be respected if trump change the us foreign politics it will be better for all no uncontrollable immigration no senseless wars in the middle east and no aggressive globalisation
1,monday already iran may implode kitchen is a disaster usrname seems happy usrname had a nice weekend and usrname is great whoop 
1,usrname $gm good riddance sad though 
1,ahh got rid of stupid time warner today &amp now taking a nap while the roomies cook for me pretty good end for a monday 
1,criminal illegal aliens gang members drug dealers rapists and murderers that type get it right when making headlines this type of reporting is what fueled the anger that helped get him elected this type of trash media bias was one of the reasons i voted for him the new york post admits their mistake in reporting maybe you could take a lesson 
1,to blame seems like off unecessarily judgemental wording here it was lego s choice to not renew their partnership with the mail and many other companies approached by members of stop funding hate including waitrose and specsavers have shot down those who ve reached out and continued their advertising deals with questionable papers like the mail and express someone at lego clearly saw issue with the mail and took the active choice to cut ties they d have just ignored pleas like other companies have if there was any real pressure i m proud of them for making a stand i just hope more companies follow suit 
1,not in the us nearly every newspaper and media outlet i saw overwhelmingly praised clinton for every little thing she did and bashed trump 
1,time warner cable phone reps r dumber than nails ugh cable was working 10 mins ago now its not wtf 
1,the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like 40k employees and all the 
1,viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get 5-6 msgs in a day arrrgh 
1,yahoo answers can be a butt sometimes
1,thats the problem with media they put news incomplete and spread fear its going to be people with criminal records drug dealers gangs according to 60 minutes interview with cbs he will do same as obama did he deported more than 2 million i dont personally like him but media is simply no fair
1,usrname because the twitter api is slow and most client s aren t good 
1,usrname yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer 
1,omg - time warner f ed up my internet install - instead of today its now next saturday - another week w o internet &amp $ ehfa^v9fhg 
1,i have to go to booz allen hamilton for a 2hr meeting but then i get to go home 
1,i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james 
1,as u may have noticed not too happy about the gm situation nor aig lehman et al
1,are you burning more cash $$$ than chrysler and gm stop the financial tsunami where bailout means taking a handout 
1,this proved that media doesn t have the power of brainwashing people as much as we thought 
1,middle seat should get both since window and aisle have their own arm rest and other benefits don t get me started about larger people i ve paid for my space and it belongs to me for the duration of the flight tall people don t kneel down when in front of me at a music concert or in the row in front at a cinema
1,poor cameron the hills 
1,tell me again why we are giving more $$ to gm we should use that $ for all the programs that support the unemployed 
1,rt usrname new time warner slogan time warner where we make you long for the days before cable 
1,nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this
1,back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh 
1,what has happened to the real journalism instead of objectively reviewing both candidates they asslick the one they were told to and provide biased untruthful opinion such a disappointment 
1,us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders
1,time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff 
1,i am furious with time warner and their phone promotions 
1,the day i never have to deal with comcast again will rank as one of the best days of my life 
1,fuzzball is more fun than at&amp t p 
1,i still love my kindle2 but reading the new york times on it does not feel natural i miss the bloomingdale ads 
1,started to think that citi is in really deep s&amp ^t are they gonna survive the turmoil or are they gonna be the next aig 
1,is twitter s connections api broken some tweets didn t make it to twitter 
1,reading the tweets coming out of iran the whole thing is terrifying and incredibly sad 
1, most vietnamese think that china is getting more powerful now and will invade vietnam soon if this is true then i feel sad for all east asian nations maybe just maybe the vietnamese regime in power is manipulating this to consolidate their own power base just like the chinese regime is using the anti-japanese sentiment to prop up themselves equally sad for the japanese nation is that mr abe is also taking advantage of anti-chinese korean sentiment to win elections east asia is diplomatically a mess in a dog-fighting-dog fashion 
1,pissed about at&amp t s mid-contract upgrade price for the iphone it s $200 more i m not going to pay $499 for something i thought was $299
1,usrname we tried but time warner wasn t being nice so we recorded today 
1,you cannot run a campaign on division and hate then expect everyone to suddenly think you ll be a great president people are right to be scared
1,now i can see why dave winer screams about lack of twitter api its limitations and access throttles 
1,i don t know why this is such a big debate it is simple really the isle seat gets extra leg room and ease of access the middle seat gets priority on the arm rests and the window seat gets a nice view every seat has pros and cons 
1,portland your city didn t hurt you stop the trumpriot and go back to the protest rioting will not help you only break what you love 
1,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that 
1,time warner road runner customer support here absolutely blows i hate not having other high-speed net options i m ready to go nuclear 
1,sad day bankrupt gm
1,jesus the media is still pushing nothing but pure propaganda this is exactly why he won over more minorities than romney because we have seen how much the media wanted hillary elected you have to ask yourself why this is what trump really said ¡°what we are going to do is get the people that are criminal and have criminal records gang members drug dealers where a lot of these people probably two million it could be even three million we are getting them out of our country or we are going to incarcerate ¡± trump said in an interview with cbs¡¯ ¡°60 minutes ¡± ¡°but we¡¯re getting them out of our country they¡¯re here illegally ¡±
1,man i kinda dislike apple right now case in point the iphone 3gs wish there was a video recorder app please 
1,why are people still releasing balloons they are litter they always land somewhere and are known to kill wildlife balloon releases should be banned 
1,annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that 
1,which agenda bbc is promoting now a days bbc credibility was at stake for last one decade now it touched new low propaganda journalism
1,i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection 
1,more misleading information 7 bigger than normal yes but hardly any bigger than every other super moon every 413 days you ll never notice the difference 
1,some people always find an excuse for this places called zoo but the animals doesn t belong to us they suppose to be free not to kill them or make them prisoners you want to teach your kid then buy books cd and show him the wild life how suppose to be 
1,looks like summize has gone down too many tweets from wwdc perhaps 
1,spencer is not a good guy 
1,if someone breaks the law they go to jail if an immigrant breaks immigration laws they should be deported if you have no respect for the law why do you want to even be in that country 
1,this is such bad news reporting stories and reports of should not be accepted as fact by a news agency such as the bbc i expect facts not gossip 
1,when they move from europe to africa=voyages of discovery when we move from africa to europe =illegal immigrants a group of africans in europe= refugees a group of europeans in africa= tourists is it all about protecting democracy the bitterness you whites put in a black man one day 
1,freedom and winning with a background of a gold plated wall interesting that the privileged 1 now became the champions of the unprivileged 90 i wonder if any of these two ever had to wait in a supermarket queue 
1,the trend trumpprotest should be changed to trumpriot because there is absolutely nothing peaceful about calling for assassinations
1,arg twitter api is making me crazy 
1,the real aig scandal 
1,confirmed it s time warner s fault not facebook s that fb is taking about 3 minutes to load so tempted to switch to verizon = 
1,found nothing at nike factory off to banana republic outlet 
1,that s no worse than clinton taking money from middle eastern countries which oppress women and gays and then saying she s a feminist and for gay rights 
1,kobe is the best in the world not lebron 
1,it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable
1,usrname my dentist is great but she s expensive = 
1,pissed at time warner for causin me to have slow internet problems
1,today is a good day to dislike at&amp t vote out of office indeed usrname
1,my dentist was wrong wrong
1,&amp t is complete fail 
1,the liberal peaceful city of portland is being destroyed by its peace loving liberal inhabitants 
1, obama administration must stop bonuses to aig ponzi schemers 
1,usrname oh snap you work at at&amp t don t you
1,usrname i really dont want at&amp t phone service they suck when it comes to having a signal
1, joining a bit late my connection was down boo time warner 
1,hate safeway select green tea icecream bought two cartons what a waste of money &gt _&lt 
1,usrname time warner = epic fail
1,argghhhh why won t my jquery appear in safari bad safari 
1,it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think 
1,time warner s hd line up is crap 
0,usrname thanks so much from one of your very happy kindle2 winners i was so surprised fabulous thank you best kathleen
0,warren buffet on the economy 
0,hey i actually won one of my bracket pools too bad it wasn t the one for money 
0,prettiest insects ever - pink katydids 
0,stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy 
0,html 5 demos lots of great stuff to come yes i m excited 
0,usrname i had a dentist appt this morning and had the same conversation 
0,about to file taxes 
0,just checked my user timeline on my blackberry it looks like the twanking is still happening are ppl still having probs w bgs and uids 
0,awesome viral marketing for funny people 
0,i m not still up i swear why do i keep losing gaining losing gaining tweeps so heart wrenching 
0,fleurylis i don t either its depressing i don t think i even want to know about the kids in suitcases 
0,dannyvegasbaby danny im upset that i wasnt here to watch the live chat i was in a car for 3 hours on a trip im soooo upset 
0,usrname i current use the nikon d90 and love it but not as much as the canon 40d 50d i chose the d90 for the video feature my mistake 
0,stanford university s facebook profile is one of the most popular official university pages - 
0,ryanseacrest is it just me or she hates anoop i mean seriously she s kinda mean to him 
0,reading on my new kindle2 
0,blink by malcolm gladwell amazing book and the tipping point 
0,naive bayes using em for text classification really frustrating 
0,loves twitter
0,was intending to finish editing my 536-page novel manuscript tonight but that will probably not happen and only 12 pages are left 
0,rt look available amazon kindle2 &amp kindle dx get it here the top electronic book reader period free 2 day ship 
0,boarding plane for san francisco in 1 hour 6 hr flight blech 
0,ok i m sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now 
0,excited about seeing bobby flay and guy fieri tomorrow at the great american food &amp music fest 
0,is in san francisco at bay to breakers 
0,at safeway with dad
0,hibanick yeah aw but i know i wudnt stand a chance 
0,going to see star trek soon with my dad 
0,usrname no lebron is the best
0,usrname we love you too and don t want you to die latex = the devil
0,nike owns nba playoffs ads w lebron kobe carmelo 
0,off to the nike factory 
0,picked mich st to win it all from the get go was feeling pretty good about that pick all the way up until tonight a s lost too 
0,giving weka an app engine interface using the bird strike data for the tests the logo is a given 
0,late night snack glass of oj b c i m &quot down with the sickness&quot then back to sleep ugh i hate getting sick 
